name,category,subtype,operator,state,district,latitude,longitude,capacity,fuel_or_resource,source,data_quality
Patancheru Industrial Area,industrial,chemical,TSIIC,Telangana,Sangareddy,17.5300,78.2600,0,chemical,reference_public,approximate
Jeedimetla Industrial Area,industrial,chemical,TSIIC,Telangana,Medchal-Malkajgiri,17.5100,78.4500,0,pharma_chemical,reference_public,approximate
Pashamylaram Industrial Area,industrial,chemical,TSIIC,Telangana,Sangareddy,17.5300,78.2000,0,pharma_chemical,reference_public,approximate
Autonagar Vijayawada,industrial,factory,APIIC,Andhra Pradesh,NTR,16.4800,80.6800,0,engineering,reference_public,approximate
Sri City Industrial Park,industrial,factory,Sri City,Andhra Pradesh,Tirupati,13.5500,80.0200,0,manufacturing,reference_public,approximate
Bhiwadi Industrial Area,industrial,factory,RIICO,Rajasthan,Alwar,28.2100,76.8600,0,manufacturing,reference_public,approximate
IMT Manesar,industrial,factory,HSIIDC,Haryana,Gurugram,28.3500,76.9400,0,automotive,reference_public,approximate
Noida Phase II Industrial Area,industrial,factory,NOIDA Authority,Uttar Pradesh,Gautam Buddha Nagar,28.5200,77.4400,0,manufacturing,reference_public,approximate
Bawana Industrial Area,industrial,factory,DSIIDC,Delhi,North West Delhi,28.7900,77.0500,0,manufacturing,reference_public,approximate
Okhla Industrial Area,industrial,factory,DSIIDC,Delhi,South East Delhi,28.5300,77.2700,0,manufacturing,reference_public,approximate
Narela Industrial Area,industrial,factory,DSIIDC,Delhi,North Delhi,28.8500,77.0900,0,manufacturing,reference_public,approximate
Mandideep Industrial Area,industrial,factory,MPIDC,Madhya Pradesh,Raisen,23.1000,77.5300,0,manufacturing,reference_public,approximate
Pithampur Industrial Area,industrial,factory,MPIDC,Madhya Pradesh,Dhar,22.6000,75.6800,0,automotive,reference_public,approximate
Byrnihat Industrial Area,industrial,factory,Meghalaya Govt,Meghalaya,Ri-Bhoi,25.9800,91.8700,0,cement_ferroalloy,reference_public,approximate
Bodhjungnagar Industrial Growth Centre,industrial,factory,TIDC,Tripura,West Tripura,23.9000,91.4000,0,manufacturing,reference_public,approximate
Kandla Port Industrial Area,industrial,port,KASEZ,Gujarat,Kutch,23.0200,70.2200,0,port,reference_public,approximate
Paradip Port Industrial Area,industrial,port,Paradip Port Authority,Odisha,Jagatsinghpur,20.3000,86.6800,0,port,reference_public,approximate
Haldia Industrial Belt,industrial,chemical,HDA,West Bengal,Purba Medinipur,22.0500,88.0800,0,petrochemical,reference_public,approximate
Visakhapatnam Port Industrial Area,industrial,port,Visakhapatnam Port Authority,Andhra Pradesh,Visakhapatnam,17.6900,83.2900,0,port,reference_public,approximate
Mangaluru SEZ,industrial,chemical,MSEZL,Karnataka,Dakshina Kannada,12.9500,74.8800,0,petrochemical,reference_public,approximate
Eloor Edayar Industrial Belt,industrial,chemical,Kerala Govt,Kerala,Ernakulam,10.0700,76.3000,0,chemical,reference_public,approximate
Taloja MIDC,industrial,chemical,MIDC,Maharashtra,Raigad,19.0600,73.1000,0,chemical,reference_public,approximate
Trans Thane Creek MIDC,industrial,chemical,MIDC,Maharashtra,Thane,19.1000,73.0200,0,chemical,reference_public,approximate
RCF Trombay Fertiliser Unit,industrial,fertiliser,RCF,Maharashtra,Mumbai,19.0300,72.9200,0,fertiliser,reference_public,approximate
Butibori MIDC,industrial,factory,MIDC,Maharashtra,Nagpur,20.9300,78.9700,0,manufacturing,reference_public,approximate
Ludhiana Focal Point Industrial Area,industrial,factory,PSIEC,Punjab,Ludhiana,30.9000,75.9500,0,manufacturing,reference_public,approximate
Mandi Gobindgarh Steel Cluster,industrial,steel,Various,Punjab,Fatehgarh Sahib,30.6600,76.3000,0,steel_rolling,reference_public,approximate
Baddi Industrial Area,industrial,factory,HP Govt,Himachal Pradesh,Solan,30.9600,76.7900,0,pharma,reference_public,approximate
SIDCUL Sitarganj,industrial,factory,SIDCUL,Uttarakhand,Udham Singh Nagar,28.9300,79.7000,0,manufacturing,reference_public,approximate
SIDCUL Haridwar,industrial,factory,SIDCUL,Uttarakhand,Haridwar,29.9300,78.0900,0,manufacturing,reference_public,approximate
Barbil Sponge Iron Cluster,industrial,steel,Various,Odisha,Kendujhar,22.1000,85.3800,0,sponge_iron,reference_public,approximate
NALCO Angul Aluminium Smelter,industrial,smelter,NALCO,Odisha,Angul,20.8500,85.1000,0,aluminium,reference_public,approximate
Vedanta Jharsuguda Aluminium Smelter,industrial,smelter,Vedanta,Odisha,Jharsuguda,21.8000,84.1000,0,aluminium,reference_public,approximate
Hindalco Renukoot,industrial,smelter,Hindalco,Uttar Pradesh,Sonbhadra,24.2000,83.0300,0,aluminium,reference_public,approximate
BALCO Korba,industrial,smelter,Vedanta,Chhattisgarh,Korba,22.3700,82.7200,0,aluminium,reference_public,approximate
Hindalco Hirakud,industrial,smelter,Hindalco,Odisha,Sambalpur,21.5200,83.8700,0,aluminium,reference_public,approximate
Grasim Nagda,industrial,chemical,Grasim,Madhya Pradesh,Ujjain,23.4500,75.4200,0,chemical,reference_public,approximate
IFFCO Kalol,industrial,fertiliser,IFFCO,Gujarat,Gandhinagar,23.2500,72.5000,0,fertiliser,reference_public,approximate
KRIBHCO Hazira,industrial,fertiliser,KRIBHCO,Gujarat,Surat,21.1000,72.6600,0,fertiliser,reference_public,approximate
